2020-03-06 20:22:24 DEBUG ResourceBundleMessageInterpolator:89 - Loaded expression factory via original TCCL
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application-default.yaml' (file:./application-default.yaml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application-default.yaml' (file:./application-default.yaml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application.yaml' (file:./application.yaml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application-default.properties for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application-default.properties for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application.properties for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application-default.xml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application-default.xml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application.xml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application-default.yml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application-default.yml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application.yml for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application-default.yaml for profile default
